2015-04-29 10:43:20.411|ERROR|http-bio-8080-exec-3 |Register:35| Cannot find /Users/Vich/Documents/Development Workspace/git/UserAccountManagement/User Account Management/WebContent/WEB-INF/classes/config.properties
2015-04-29 10:46:35.331|ERROR|http-bio-8080-exec-3 |Register:35| Cannot find /Users/Vich/Documents/Development Workspace/git/UserAccountManagement/User Account Management/WebContent/WEB-INF/classes/config.properties
2015-04-29 10:49:30.917|ERROR|http-bio-8080-exec-1 |Register:35| Cannot find /Users/Vich/Documents/Development Workspace/git/UserAccountManagement/User Account Management/WebContent/WEB-INF/classes/config.properties
2015-04-29 10:51:03.608|ERROR|http-bio-8080-exec-3 |Signon:113| 10.211.55.101:389
2015-04-29 10:51:03.610|INFO |http-bio-8080-exec-3 |Signon:59| Invalid login [user06]
2015-04-29 10:51:56.395|ERROR|http-bio-8080-exec-7 |Signon:113| 10.211.55.101:389
2015-04-29 10:51:56.395|INFO |http-bio-8080-exec-7 |Signon:59| Invalid login [user01]
2015-04-29 10:53:46.416|DEBUG|http-bio-8080-exec-1 |Signon:108| user01's email = null
2015-04-29 10:53:46.467|INFO |http-bio-8080-exec-1 |Signon:73| login success. [user01]
2015-04-29 10:53:55.193|DEBUG|http-bio-8080-exec-3 |Signon:108| user02's email = mail: user02@yahoo.com
2015-04-29 10:53:55.194|INFO |http-bio-8080-exec-3 |Signon:73| login success. [user02]
2015-04-29 10:54:27.533|DEBUG|http-bio-8080-exec-9 |Modify:44| username=user06
2015-04-29 10:54:27.731|DEBUG|http-bio-8080-exec-9 |Modify:45| oldpassworduser06
2015-04-29 10:54:27.973|DEBUG|http-bio-8080-exec-9 |Modify:46| password1=06
2015-04-29 10:54:28.174|DEBUG|http-bio-8080-exec-9 |Modify:47| password2=06
2015-04-29 10:54:28.394|DEBUG|http-bio-8080-exec-9 |Modify:48| firstname=xUser06
2015-04-29 10:54:28.594|DEBUG|http-bio-8080-exec-9 |Modify:49| lastname=yUser06
2015-04-29 10:54:28.834|DEBUG|http-bio-8080-exec-9 |Modify:50| email=
2015-04-29 11:04:25.484|DEBUG|http-bio-8080-exec-11|Modify:44| username=user06
2015-04-29 11:04:25.485|DEBUG|http-bio-8080-exec-11|Modify:45| oldpassworduser06
2015-04-29 11:04:25.485|DEBUG|http-bio-8080-exec-11|Modify:46| password1=06
2015-04-29 11:04:25.485|DEBUG|http-bio-8080-exec-11|Modify:47| password2=06
2015-04-29 11:04:25.485|DEBUG|http-bio-8080-exec-11|Modify:48| firstname=xUser06
2015-04-29 11:04:25.486|DEBUG|http-bio-8080-exec-11|Modify:49| lastname=yUser06
2015-04-29 11:04:25.486|DEBUG|http-bio-8080-exec-11|Modify:50| email=
2015-04-29 11:04:25.491|ERROR|http-bio-8080-exec-11|LdapModifyUser:88| [LDAP: error code 17 - fistname: attribute type undefined]
2015-04-29 11:04:25.491|ERROR|http-bio-8080-exec-11|Modify:58| Modify attribute failed
2015-04-29 11:05:02.889|DEBUG|http-bio-8080-exec-15|Modify:44| username=user06
2015-04-29 11:05:02.890|DEBUG|http-bio-8080-exec-15|Modify:45| oldpassworduser06
2015-04-29 11:05:02.890|DEBUG|http-bio-8080-exec-15|Modify:46| password1=06
2015-04-29 11:05:02.890|DEBUG|http-bio-8080-exec-15|Modify:47| password2=06
2015-04-29 11:05:02.890|DEBUG|http-bio-8080-exec-15|Modify:48| firstname=xUser06
2015-04-29 11:05:02.890|DEBUG|http-bio-8080-exec-15|Modify:49| lastname=yUser06
2015-04-29 11:05:02.890|DEBUG|http-bio-8080-exec-15|Modify:50| email=
2015-04-29 11:05:40.075|ERROR|http-bio-8080-exec-15|LdapModifyUser:88| [LDAP: error code 17 - fistname: attribute type undefined]
2015-04-29 11:05:40.075|ERROR|http-bio-8080-exec-15|Modify:58| Modify attribute failed
2015-04-29 11:06:53.022|DEBUG|http-bio-8080-exec-3 |Modify:44| username=user06
2015-04-29 11:06:53.024|DEBUG|http-bio-8080-exec-3 |Modify:45| oldpassworduser06
2015-04-29 11:06:53.024|DEBUG|http-bio-8080-exec-3 |Modify:46| password1=user06
2015-04-29 11:06:53.024|DEBUG|http-bio-8080-exec-3 |Modify:47| password2=user06
2015-04-29 11:06:53.024|DEBUG|http-bio-8080-exec-3 |Modify:48| firstname=xUser06
2015-04-29 11:06:53.024|DEBUG|http-bio-8080-exec-3 |Modify:49| lastname=yUser06
2015-04-29 11:06:53.024|DEBUG|http-bio-8080-exec-3 |Modify:50| email=
2015-04-29 11:06:59.512|DEBUG|http-bio-8080-exec-3 |LdapModifyUser:85| Success modify attributes [user06]
2015-04-29 11:07:01.396|INFO |http-bio-8080-exec-3 |Modify:61| Modify success
